,dot_name,MR_ADD,MR_MUL,MR_PER,MR_INC,MR_EXC,MR_INV,FM_54,FM_47,FM_58,FM_68,FM_97,FM_45,FM_79,FM_8,FM_52,FM_92,FM_41,FM_29,FM_14,FM_89,FM_96,FM_34,FM_10,FM_62,FM_64,FM_61,FM_65,FM_80,FM_50,FM_27,FM_74,FM_17,FM_35,FM_93,FM_22,FM_46,FM_96,FM_5,FM_72,FM_9,FM_70,FM_13,FM_43,FM_12,FM_19,FM_76,FM_36,FM_81,FM_60,FM_63,FM_31,FM_73,FM_30,FM_75,FM_16,FM_55,FM_1,FM_44,FM_18,FM_56,FM_51,FM_67,FM_85,FM_26,FM_94,FM_2,FM_33,FM_21,FM_15,FM_48,FM_66,FM_57,FM_39,FM_69,FM_42,FM_25,FM_90,FM_6,FM_53,FM_88,FM_82,FM_32,FM_37,FM_3,FM_11,FM_23,FM_83,FM_4,FM_78,FM_59,FM_84,FM_24,FM_28,FM_86,FM_49,FM_38,FM_40,FM_20,FM_87,FM_77,FM_7,FM_71,FM_91
1,add_two_array_values,0,0,0,0,0,0,1,0.84444022776656,0.616515285206647,0.8245675416568,0.583232969141275,0.8245675416568,0.821293122958459,0.614835112580328,0.535811950847519,0.582006339289724,0.795131965027847,0.8245675416568,0.820888561691075,0.892831334011364,0.857511978840862,0.64876466134931,0.8245675416568,0.682642584911977,0.892831334011364,0.892831334011364,0.892831334011364,0.8245675416568,0.523325380091292,0.8245675416568,0.795131965027847,0.562385789037332,0.64876466134931,0.607395115713329,0.8245675416568,0.84444022776656,0.795131965027847,0.857511978840862,0.857511978840862,0.835418746983544,0.571631471609849,0.807255737411131,0.795131965027847,0.807255737411131,0.599812503780664,0.949853559334168,0.64876466134931,0.538179545915392,0.892831334011364,0.857511978840862,0.905414405398454,0.721211695839642,0.905414405398454,0.455949951304062,0.535811950847519,0.8245675416568,1,0.892831334011364,0.8245675416568,0.892831334011364,0.687155165668709,0.528558261133523,0.616515285206647,0.892831334011364,0.763962124985771,0.892831334011364,0.905414405398454,0.6274784882255,0.820888561691075,0.687155165668709,0.682642584911977,0.624577410154051,0.820888561691075,0.652847330347422,0.469082023951164,0.927304680644236,0.892831334011364,0.892831334011364,0.892831334011364,0.892831334011364,0.807255737411131,0.905414405398454,0.64876466134931,0.8245675416568,0.711460881697775,0.8245675416568,0.692755383182812,0.8245675416568,0.795131965027847,0.70670182362707,0.558651433842889,0.692342322714335,0.892831334011364,0.855093196421163,0.687155165668709,0.626447567194832,0.646110378553883,0.60705854016619,0.633228767611742,0.949853559334168,0.562698950148117,0.855093196421163,0.6274784882255
2,add_values,1,1,1,1,1,1,0.892831334011364,0.994556094597807,0.878063908225911,0.987044116181647,0.854678653397246,0.987044116181647,0.987469369029395,0.862789177063147,0.821582789724617,0.853148588835161,0.977888479160426,0.987044116181647,0.984051728298501,1,0.996191873194325,0.894707208418004,0.987044116181647,0.914315951042827,1,1,1,0.987044116181647,0.810540387497039,0.987044116181647,0.977888479160426,0.833776293459898,0.894707208418004,0.871654321671701,0.987044116181647,0.994556094597807,0.977888479160426,0.996191873194325,0.996191873194325,0.986648915989425,0.847592325687582,0.981541985336151,0.977888479160426,0.981541985336151,0.859071669413648,0.968922824153425,0.894707208418004,0.810903166011582,1,0.996191873194325,0.996573654663818,0.946764416295378,0.996573654663818,0.755468763905597,0.821582789724617,0.987044116181647,0.892831334011364,1,0.987044116181647,1,0.917941127690565,0.80678341659254,0.878063908225911,1,0.964951403536409,1,0.996573654663818,0.888478719221013,0.984051728298501,0.917941127690565,0.914315951042827,0.873991102650179,0.984051728298501,0.905561689452918,0.763481113144191,0.996036907068551,1,1,1,1,0.981541985336151,0.996573654663818,0.894707208418004,0.987044116181647,0.927423073638496,0.987044116181647,0.919596370410464,0.987044116181647,0.977888479160426,0.936456628564342,0.828145943023087,0.928358158697092,1,0.991605843150515,0.917941127690565,0.880484480831936,0.892068052354066,0.868512574498364,0.891063642626282,0.968922824153425,0.834341877610782,0.991605843150515,0.888478719221013
3,array_calc,1,1,0,0,0,1,0.8245675416568,0.99533262219608,0.942248406366947,1,0.92580330530348,1,0.996795176053313,0.93019060222639,0.901197488185991,0.92474136112468,0.997137892965446,1,0.998173143509311,0.987044116181647,0.994314577098039,0.953272469120236,1,0.965925642373738,0.987044116181647,0.987044116181647,0.987044116181647,1,0.892599697658305,1,0.997137892965446,0.909541932462415,0.953272469120236,0.937976922797438,1,0.99533262219608,0.997137892965446,0.994314577098039,0.994314577098039,0.99469319928769,0.920648925522128,0.998390553580202,0.997137892965446,0.998390553580202,0.928336142997176,0.919251447965427,0.953272469120236,0.891972015713206,0.987044116181647,0.994314577098039,0.981074722675479,0.971882020659409,0.981074722675479,0.848852086345915,0.901197488185991,1,0.8245675416568,0.987044116181647,1,0.987044116181647,0.96844698918972,0.889101253829999,0.942248406366947,0.987044116181647,0.992779101825026,0.987044116181647,0.981074722675479,0.949344966938591,0.998173143509311,0.96844698918972,0.965925642373738,0.938914072835112,0.998173143509311,0.960794610612496,0.85503000482075,0.973141367629394,0.987044116181647,0.987044116181647,0.987044116181647,0.987044116181647,0.998390553580202,0.981074722675479,0.953272469120236,1,0.97381989872127,1,0.969434188054458,1,0.997137892965446,0.979237975385211,0.905210619214703,0.975291339079448,0.987044116181647,0.996957014158841,0.96844698918972,0.943861705432485,0.951408476470483,0.935356568480265,0.951352821312936,0.919251447965427,0.910294489076423,0.996957014158841,0.949344966938591
4,array_copy,1,1,0,0,0,1,0.8245675416568,0.99533262219608,0.942248406366947,1,0.92580330530348,1,0.996795176053313,0.93019060222639,0.901197488185991,0.92474136112468,0.997137892965446,1,0.998173143509311,0.987044116181647,0.994314577098039,0.953272469120236,1,0.965925642373738,0.987044116181647,0.987044116181647,0.987044116181647,1,0.892599697658305,1,0.997137892965446,0.909541932462415,0.953272469120236,0.937976922797438,1,0.99533262219608,0.997137892965446,0.994314577098039,0.994314577098039,0.99469319928769,0.920648925522128,0.998390553580202,0.997137892965446,0.998390553580202,0.928336142997176,0.919251447965427,0.953272469120236,0.891972015713206,0.987044116181647,0.994314577098039,0.981074722675479,0.971882020659409,0.981074722675479,0.848852086345915,0.901197488185991,1,0.8245675416568,0.987044116181647,1,0.987044116181647,0.96844698918972,0.889101253829999,0.942248406366947,0.987044116181647,0.992779101825026,0.987044116181647,0.981074722675479,0.949344966938591,0.998173143509311,0.96844698918972,0.965925642373738,0.938914072835112,0.998173143509311,0.960794610612496,0.85503000482075,0.973141367629394,0.987044116181647,0.987044116181647,0.987044116181647,0.987044116181647,0.998390553580202,0.981074722675479,0.953272469120236,1,0.97381989872127,1,0.969434188054458,1,0.997137892965446,0.979237975385211,0.905210619214703,0.975291339079448,0.987044116181647,0.996957014158841,0.96844698918972,0.943861705432485,0.951408476470483,0.935356568480265,0.951352821312936,0.919251447965427,0.910294489076423,0.996957014158841,0.949344966938591
5,autoCorrelation,0,0,0,0,0,0,0.857511978840862,0.999076049312359,0.908226296557277,0.994314577098039,0.887410422786182,0.994314577098039,0.996471342796733,0.891362641439779,0.857815979813111,0.885674736687569,0.990592096420803,0.994314577098039,0.993221291486345,0.996191873194325,1,0.920975797427954,0.994314577098039,0.938474278844982,0.996191873194325,0.996191873194325,0.996191873194325,0.994314577098039,0.847278971144024,0.994314577098039,0.990592096420803,0.866672481622729,0.920975797427954,0.902368978686093,0.994314577098039,0.999076049312359,0.990592096420803,1,1,0.99314256435922,0.881316228531428,0.992384011525142,0.990592096420803,0.992384011525142,0.888958108267504,0.949780937875141,0.920975797427954,0.845192559069679,0.996191873194325,1,0.992966255482618,0.967342060497229,0.992966255482618,0.795928374151952,0.857815979813111,0.994314577098039,0.857511978840862,0.996191873194325,0.994314577098039,0.996191873194325,0.940663633466613,0.842002034561677,0.908226296557277,0.996191873194325,0.981210026605351,0.996191873194325,0.992966255482618,0.918207348040827,0.993221291486345,0.940663633466613,0.938474278844982,0.902135755410543,0.993221291486345,0.932631640982148,0.802806505881729,0.986965469335528,0.996191873194325,0.996191873194325,0.996191873194325,0.996191873194325,0.992384011525142,0.992966255482618,0.920975797427954,0.994314577098039,0.94852104825572,0.994314577098039,0.941987782138101,0.994314577098039,0.990592096420803,0.959036463421178,0.861514367842968,0.952124103636133,0.996191873194325,0.995348837911027,0.940663633466613,0.909509462855415,0.919401114834641,0.89895806513663,0.920245723042231,0.949780937875141,0.867951033771921,0.995348837911027,0.918207348040827
6,average,1,1,1,0,0,1,0.892831334011364,0.994556094597807,0.878063908225911,0.987044116181647,0.854678653397246,0.987044116181647,0.987469369029395,0.862789177063147,0.821582789724617,0.853148588835161,0.977888479160426,0.987044116181647,0.984051728298501,1,0.996191873194325,0.894707208418004,0.987044116181647,0.914315951042827,1,1,1,0.987044116181647,0.810540387497039,0.987044116181647,0.977888479160426,0.833776293459898,0.894707208418004,0.871654321671701,0.987044116181647,0.994556094597807,0.977888479160426,0.996191873194325,0.996191873194325,0.986648915989425,0.847592325687582,0.981541985336151,0.977888479160426,0.981541985336151,0.859071669413648,0.968922824153425,0.894707208418004,0.810903166011582,1,0.996191873194325,0.996573654663818,0.946764416295378,0.996573654663818,0.755468763905597,0.821582789724617,0.987044116181647,0.892831334011364,1,0.987044116181647,1,0.917941127690565,0.80678341659254,0.878063908225911,1,0.964951403536409,1,0.996573654663818,0.888478719221013,0.984051728298501,0.917941127690565,0.914315951042827,0.873991102650179,0.984051728298501,0.905561689452918,0.763481113144191,0.996036907068551,1,1,1,1,0.981541985336151,0.996573654663818,0.894707208418004,0.987044116181647,0.927423073638496,0.987044116181647,0.919596370410464,0.987044116181647,0.977888479160426,0.936456628564342,0.828145943023087,0.928358158697092,1,0.991605843150515,0.917941127690565,0.880484480831936,0.892068052354066,0.868512574498364,0.891063642626282,0.968922824153425,0.834341877610782,0.991605843150515,0.888478719221013
7,bi_SearchFromTo,0,0,0,1,0,0,0.562698950148117,0.875119939432192,0.995289773692548,0.910294489076423,0.998691084082555,0.910294489076423,0.898410791813546,0.997471562465978,0.999108703512325,0.998747808413529,0.926421270225092,0.910294489076423,0.913667426763939,0.834341877610782,0.867951033771921,0.99254461341002,0.910294489076423,0.985872474881839,0.834341877610782,0.834341877610782,0.834341877610782,0.910294489076423,0.998268809742873,0.910294489076423,0.926421270225092,0.999600225513897,0.99254461341002,0.996492079681574,0.910294489076423,0.875119939432192,0.926421270225092,0.867951033771921,0.867951033771921,0.893843656202516,0.998902608623222,0.921213289821402,0.926421270225092,0.921213289821402,0.998634218706706,0.682842757984716,0.99254461341002,0.998405682088381,0.834341877610782,0.867951033771921,0.822071714232371,0.905044885476193,0.822071714232371,0.991009976448046,0.999108703512325,0.910294489076423,0.562698950148117,0.834341877610782,0.910294489076423,0.834341877610782,0.984370229881549,0.998238657717116,0.995289773692548,0.834341877610782,0.944302428685682,0.834341877610782,0.822071714232371,0.990937191986734,0.913667426763939,0.984370229881549,0.985872474881839,0.996666032460881,0.913667426763939,0.986338535204186,0.992342534559052,0.79967021161355,0.834341877610782,0.834341877610782,0.834341877610782,0.834341877610782,0.921213289821402,0.822071714232371,0.99254461341002,0.910294489076423,0.977633091098902,0.910294489076423,0.983440583873433,0.910294489076423,0.926421270225092,0.971289673572941,0.999457587604039,0.975487448502978,0.834341877610782,0.893318560723217,0.984370229881549,0.995770765721024,0.993097746909596,0.997275025877023,0.991827587675994,0.682842757984716,1,0.893318560723217,0.990937191986734
8,bubble,1,1,1,0,0,1,0.614835112580328,0.897288296443791,0.996099962239929,0.93019060222639,0.997251905993319,0.93019060222639,0.917492271849548,1,0.994126663502429,0.997329294565681,0.942517018000039,0.93019060222639,0.932987830318344,0.862789177063147,0.891362641439779,0.996621539935292,0.93019060222639,0.992581580473232,0.862789177063147,0.862789177063147,0.862789177063147,0.93019060222639,0.993159878114144,0.93019060222639,0.942517018000039,0.997743472475546,0.996621539935292,0.996863570259461,0.93019060222639,0.897288296443791,0.942517018000039,0.891362641439779,0.891362641439779,0.915074688926631,0.996529425432659,0.938973910811003,0.942517018000039,0.938973910811003,0.999382765299504,0.723088393814016,0.996621539935292,0.995250487117993,0.862789177063147,0.891362641439779,0.851695963776732,0.912567769943525,0.851695963776732,0.981714029626857,0.994126663502429,0.93019060222639,0.614835112580328,0.862789177063147,0.93019060222639,0.862789177063147,0.99151731210553,0.994094701362577,0.996099962239929,0.862789177063147,0.957788064108394,0.862789177063147,0.851695963776732,0.991787930960143,0.932987830318344,0.99151731210553,0.992581580473232,0.999310719916486,0.932987830318344,0.989484686579226,0.984206792659911,0.833030360916066,0.862789177063147,0.862789177063147,0.862789177063147,0.862789177063147,0.938973910811003,0.851695963776732,0.996621539935292,0.93019060222639,0.987080383354316,0.93019060222639,0.991345925314679,0.93019060222639,0.942517018000039,0.979601244686572,0.997492818836409,0.981938105727735,0.862789177063147,0.917075976195267,0.99151731210553,0.997895893771955,0.997057692314705,0.998190468692788,0.993507637336355,0.723088393814016,0.997471562465978,0.917075976195267,0.991787930960143
9,cal_AbsoluteDiff,1,1,0,0,0,1,0.835418746983544,0.994232517515739,0.92993272800198,0.99469319928769,0.911263484869984,0.99469319928769,0.99554331939926,0.915074688926631,0.885247612910654,0.910761453708827,0.992637482720837,0.99469319928769,0.997896843042423,0.986648915989425,0.99314256435922,0.939170447691875,0.99469319928769,0.953690432252341,0.986648915989425,0.986648915989425,0.986648915989425,0.99469319928769,0.876551845681223,0.99469319928769,0.992637482720837,0.892111406309509,0.939170447691875,0.925297197966416,0.99469319928769,0.994232517515739,0.992637482720837,0.99314256435922,0.99314256435922,1,0.905905880753405,0.994926898398209,0.992637482720837,0.994926898398209,0.911958923699294,0.930281797264598,0.939170447691875,0.875194743054201,0.986648915989425,0.99314256435922,0.98704905642522,0.968191062166516,0.98704905642522,0.830602432633856,0.885247612910654,0.99469319928769,0.835418746983544,0.986648915989425,0.99469319928769,0.986648915989425,0.954997831853157,0.872575216631066,0.92993272800198,0.986648915989425,0.988207561517264,0.986648915989425,0.98704905642522,0.937645610950551,0.997896843042423,0.954997831853157,0.953690432252341,0.925554318077155,0.997896843042423,0.949545232442253,0.837062097704217,0.974416366502402,0.986648915989425,0.986648915989425,0.986648915989425,0.986648915989425,0.994926898398209,0.98704905642522,0.939170447691875,0.99469319928769,0.966957784678103,0.99469319928769,0.956861557604663,0.99469319928769,0.992637482720837,0.970929387221226,0.888706716264868,0.966096268464318,0.986648915989425,0.994961830916149,0.954997831853157,0.930084407804364,0.938122941690743,0.922373461082854,0.938969636928646,0.930281797264598,0.893843656202516,0.994961830916149,0.937645610950551
10,calculateDifferences,0,0,0,0,0,0,0.8245675416568,0.99533262219608,0.942248406366947,1,0.92580330530348,1,0.996795176053313,0.93019060222639,0.901197488185991,0.92474136112468,0.997137892965446,1,0.998173143509311,0.987044116181647,0.994314577098039,0.953272469120236,1,0.965925642373738,0.987044116181647,0.987044116181647,0.987044116181647,1,0.892599697658305,1,0.997137892965446,0.909541932462415,0.953272469120236,0.937976922797438,1,0.99533262219608,0.997137892965446,0.994314577098039,0.994314577098039,0.99469319928769,0.920648925522128,0.998390553580202,0.997137892965446,0.998390553580202,0.928336142997176,0.919251447965427,0.953272469120236,0.891972015713206,0.987044116181647,0.994314577098039,0.981074722675479,0.971882020659409,0.981074722675479,0.848852086345915,0.901197488185991,1,0.8245675416568,0.987044116181647,1,0.987044116181647,0.96844698918972,0.889101253829999,0.942248406366947,0.987044116181647,0.992779101825026,0.987044116181647,0.981074722675479,0.949344966938591,0.998173143509311,0.96844698918972,0.965925642373738,0.938914072835112,0.998173143509311,0.960794610612496,0.85503000482075,0.973141367629394,0.987044116181647,0.987044116181647,0.987044116181647,0.987044116181647,0.998390553580202,0.981074722675479,0.953272469120236,1,0.97381989872127,1,0.969434188054458,1,0.997137892965446,0.979237975385211,0.905210619214703,0.975291339079448,0.987044116181647,0.996957014158841,0.96844698918972,0.943861705432485,0.951408476470483,0.935356568480265,0.951352821312936,0.919251447965427,0.910294489076423,0.996957014158841,0.949344966938591
